File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's	Naive
1.#INF	33	462	77
1.#INF	33.0714	463	77.1667
1.#INF	33.1429	464	77.3333
1.#INF	33.2143	465	77.5
1.#INF	33.2857	466	77.6667
1.#INF	33.3571	467	77.8333
1.#INF	33.4286	468	78
1.#INF	33.5	469	78.1667
1.#INF	33.5714	470	78.3333
1.#INF	33.6429	471	78.5
1.#INF	33.7143	472	78.6667
1.#INF	33.7857	473	78.8333
1.#INF	33.8571	474	79
1.#INF	33.9286	475	79.1667
1.#INF	34	476	79.3333
1.#INF	34.0714	477	79.5
1.#INF	34.1429	478	79.6667
1.#INF	34.2143	479	79.8333
1.#INF	34.2857	480	80
1.#INF	34.3571	481	80.1667
1.#INF	34.4286	482	80.3333
1.#INF	34.5	483	80.5
1.#INF	34.5714	484	80.6667
1.#INF	34.6429	485	80.8333
1.#INF	34.7143	486	81
1.#INF	34.7857	487	81.1667
1.#INF	34.8571	488	81.3333
1.#INF	34.9286	489	81.5
1.#INF	35	490	81.6667
1.#INF	35.0714	491	81.8333
1.#INF	35.1429	492	82
1.#INF	35.2143	493	82.1667
1.#INF	35.2857	494	82.3333
1.#INF	33	495	82.5
1.#INF	33.0667	496	82.6667
1.#INF	33.1333	497	71
1.#INF	33.2	498	71.1429
1.#INF	33.2667	499	71.2857
1.#INF	33.3333	500	71.4286
1.#INF	33.4	501	71.5714
1.#INF	33.4667	502	71.7143
1.#INF	33.5333	503	71.8571
1.#INF	33.6	504	72
1.#INF	33.6667	505	72.1429
1.#INF	33.7333	506	72.2857
1.#INF	33.8	507	72.4286
1.#INF	33.8667	508	72.5714
1.#INF	33.9333	509	72.7143
1.#INF	34	510	72.8571
1.#INF	34.0667	511	73
1.#INF	34.1333	512	73.1429
1.#INF	34.2	513	73.2857
1.#INF	34.2667	514	73.4286
1.#INF	34.3333	515	73.5714
1.#INF	34.4	516	73.7143
1.#INF	34.4667	517	73.8571
1.#INF	34.5333	518	74
1.#INF	34.6	519	74.1429
1.#INF	34.6667	520	74.2857
1.#INF	34.7333	521	74.4286
1.#INF	34.8	522	74.5714
1.#INF	34.8667	523	74.7143
1.#INF	34.9333	524	74.8571
1.#INF	35	525	75
1.#INF	35.0667	526	75.1429
1.#INF	35.1333	527	75.2857
1.#INF	35.2	528	75.4286
1.#INF	35.2667	529	75.5714
1.#INF	35.3333	530	75.7143
1.#INF	35.4	531	75.8571
1.#INF	35.4667	532	76
1.#INF	35.5333	533	76.1429
1.#INF	35.6	534	76.2857
1.#INF	35.6667	535	76.4286
1.#INF	35.7333	536	76.5714
1.#INF	35.8	537	76.7143
1.#INF	35.8667	538	76.8571
1.#INF	35.9333	539	77
1.#INF	36	540	77.1429
1.#INF	36.0667	541	77.2857
1.#INF	36.1333	542	77.4286
1.#INF	36.2	543	77.5714
1.#INF	36.2667	544	77.7143
1.#INF	36.3333	545	77.8571
1.#INF	36.4	546	78
1.#INF	36.4667	547	78.1429
1.#INF	36.5333	548	78.2857
1.#INF	36.6	549	78.4286
1.#INF	36.6667	550	78.5714
1.#INF	36.7333	551	78.7143
1.#INF	36.8	552	78.8571
1.#INF	36.8667	553	79
1.#INF	36.9333	554	79.1429
1.#INF	37	555	79.2857
