File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
45.5238	15.4194	191.2
45.5714	15.4355	191.4
45.619	15.4516	159.667
45.6667	15.4677	159.833
45.7143	15.4839	160
45.7619	15.5	160.167
45.8095	15.5161	160.333
45.8571	15.5323	160.5
45.9048	15.5484	160.667
45.9524	15.5645	160.833
46	15.5806	161
46.0476	15.5968	161.167
46.0952	15.6129	161.333
46.1429	15.629	161.5
46.1905	15.6452	161.667
46.2381	15.6613	161.833
46.2857	15.6774	162
46.3333	15.6935	162.167
46.381	15.4603	162.333
46.4286	15.4762	162.5
46.4762	15.4921	162.667
46.5238	15.5079	162.833
46.5714	15.5238	163
46.619	15.5397	163.167
46.6667	15.5556	163.333
46.7143	15.5714	163.5
46.7619	15.5873	163.667
46.8095	15.6032	163.833
46.8571	15.619	164
46.9048	15.6349	164.167
46.9524	15.4063	164.333
47	15.4219	164.5
47.0476	15.4375	164.667
47.0952	15.4531	164.833
47.1429	15.4688	165
47.1905	15.4844	165.167
47.2381	15.5	165.333
47.2857	15.5156	165.5
47.3333	15.5313	165.667
47.381	15.5469	165.833
47.4286	15.5625	166
47.4762	15.5781	166.167
47.5238	15.5938	166.333
47.5714	15.6094	166.5
47.619	15.625	166.667
47.6667	15.6406	166.833
47.7143	15.6563	167
47.7619	15.6719	167.167
47.8095	15.6875	167.333
47.8571	15.7031	167.5
47.9048	15.4769	167.667
47.9524	15.4923	167.833
48	15.5077	168
48.0476	15.5231	168.167
48.0952	15.5385	168.333
48.1429	15.5538	168.5
48.1905	15.5692	168.667
48.2381	15.5846	168.833
48.2857	15.6	169
48.3333	15.6154	169.167
48.381	15.6308	169.333
48.4286	15.6462	169.5
48.4762	15.4242	169.667
